Sr No,Tweet,Sentiment
85NegativeNegative,"#CoronaVirus

Monday Positive February Neutral0Neutral0 - #Zhejiang 
?????? Cluster Infection cases Negative+Neutral5 = Neutral6",Negative
85NegativeNeutral,"China says US hasn't given any significant help in coronavirus outbreak, created panic: report #USA #coronavirus #Fear ?
https://t.co/cysWcOCZcX",Neutral
85NegativePositive,Our team caught a #phishing campaign using targeting the growing fear over the #coronavirus as bait. Wired's @lilyhnewman took a closer look?? https://t.co/Xs55Z08mEK https://t.co/kjUQH0hzkM,Neutral
85Negative4,"Last week, the EU mobilised ÛNegative0 million for research into #coronavirus through #HorizonNeutral0Neutral0.
Following info from ???? about the need for protective equipment, the EU &amp; its member countries mobilised NegativeNeutral tons of equipment, already en route to ????.
Info???? https://t.co/uYam6BfXyj",Neutral
85Negative5,"BREAKING: #Coronavirus-infected woman gives birth to perfectly healthy baby in #China
#CoronavirusOutbreak

MORE TO FOLLOW ?? https://t.co/WNegative7soQmiOy",Neutral
85Negative6,"Pray For china??
#Coronavirus isnÕt a joke, God Please Protect Family, Friends And Also Humanities. https://t.co/NAlrFQhK0Y",Positive
85Negative7,"DonÕt panic! No one is dying ???????
#PANdemicNeutral0Neutral0 #coronaviruswuhan #coronaviruse #coronavirus #nCoVNeutral0Neutral0",Neutral
85Negative8,Salute to these young Chinese doctors/nurses who have been working tirelessly in the wake of #coronavirus outbreak in Wuhan. Their profession is selfless and the only thing they want in return is appreciation. I salute to you all and God bless. ???? https://t.co/wNwYsZOnHl,Positive
85Negative9,"My heart us hurting, god pls have mercy to these good people 
#coronavirus ??????
They dont deserve such death, since china govt choose safety, all dead bodies are being cremated 

Coronavirus outbreak: doctor in Wuhan hospital dies as army medics flown in https://t.co/0JPositiveO4Wo8ov",Neutral
85Neutral0,"#Coronavirus impact on the #stockMarket: which #stocks to consider, whick #stocks to avoid.

???? https://t.co/Gl9XEnAS95 ????

#coronavirus #stock #wuhanVirus #wuhan #stockMarketAnalysis #coronavirusVaccine #biotech #stocksToWatch #stocksToTrade $jnj $mrk $vir $lake $codx https://t.co/DQZ68Negative99gC",Negative
85NeutralNegative,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Positive
85NeutralNeutral,Damn US's #coronavirus infected number is really gonne pass Australia's.. Y'all always have to try and beat us huh ??????,Positive
85NeutralPositive,"#SIRCSWORLDNEWS ?? #Coronavirus #CoronavirusOutbreak
???? -- BREAKING --",Positive
85Neutral4,"??BREAKING: US confirms Positive more cases of #coronavirus (in #California) for NegativeNegative total. One man recently visited #Wuhan and then spread #Neutral0Negative9nCoV to his wife.

Worldwide: &gt;Negative7,Neutral05 confirmed cases (vast majority in #China), and Positive6Negative deaths (all but Negative in China).

https://t.co/77LIdrjdMi",Positive
85Neutral5,Coronavirus-Update !!????????????????????#Wuhan #CoronavirusOutbreak #China #Coronavirus #PrayForWuhan #coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan #Neutral0Neutral0nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/vDbs4MlqcX,Positive
85Neutral6,I'm watching @MTVBaseSouth and @kanyewest caught #CoronaVirus from some Asian kid on his #AllFallsDown song ??.,Positive
85Neutral7,"So they need to pay to get a diagnosis, even under a national emergency situation? ??
 #coronavirus #china #wuhan",Positive
85Neutral8,"TODAY on #MorningTradeLive: 

??Latest #Coronavirus updates
??Liquid StrategiesÕ Shawn Gibson on exploiting volatility
??#InsideOut with @JefferiesEventsÕ Brent Thill
??@AlBkNeutralComodities has #TheMorningTrade @CBOE
??@GoldCouncilÕs Joe Cavatoni on key #gold trends

Stream Live ??",Positive
85Neutral9,"LISTEN: How do we track and combat an epidemic or disease like #Coronavirus?

On a new episode of the @umichsph podcast, 'Population Healthy,' real-life disease detectives from @UMich + @CDCgov explain how.

Stream: https://t.co/z90DmNgZEI??
Apple: https://t.co/PyaADFDcG4??? https://t.co/ayRPGC8mdg",Positive
85Positive0,Am I the only one thatÕs nervous that no one famous is talking about the #coronavirus? Not even actors tweeting thoughts?? We know itÕs worse than SARS already ??,Positive
85PositiveNegative,"What's to know about #CORONAVIRUS Neutral0Negative9-nCoV. From #CRUI (Conferenza Rettori Universitˆ Italiane) useful information about the contagion to protect our community's #health
? https://t.co/lqCDcgOFIk https://t.co/EVMcjkoCUg",Positive
85PositiveNeutral,"#coronavirus
So dangerous, kills rapidly but Thank God itÕs from China ???? it wonÕt last long??????",Negative
85PositivePositive,"That's really hurt ????
#coronaviruse",Neutral
85Positive4,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Positive
85Positive5,"The Health Ministry and WHO's office in #Lebanon are monitoring closely ???? ??
https://t.co/xvV6MPositivekcDm #coronavirus",Negative
85Positive6,"UPDATE on #coronavirus testing in the UK:

As of Neutralpm on Monday Positive February Neutral0Neutral0, a total of PositiveNeutral6 tests have concluded:

PositiveNeutral4 were confirmed negative.
Neutral positive.

Updates will be published at Neutralpm daily until further notice.

For latest information visit:
?? https://t.co/CZh5JdyNNeutralQ https://t.co/CjEHY6PositiveVZL",Positive
85Positive7,"That's really hurt ????
#CoronavirusOutbreak",Neutral
85Positive8,"You can find the latest information and advice on novel #coronavirus here: ??https://t.co/y649cwTVNegativeJ

Stay up to date by following @PHE_uk and @DHSCgovuk https://t.co/fWuNeutralnrsuy9",Positive
85Positive9,"What are the symptoms of #Coronavirus?
A: Symptoms of novel coronavirus can include:
?? fever
?? cough
?? shortness of breath
?? https://t.co/4x4UwhfNxl",Positive
8540,"?? New Podcast! ""Bringin Da Funk"" on @Spreaker #anywhere #apple #bill #comedy #coronavirus #download #funny #goldstarmedia #google #kobebryant #panic #plague #podcast #raptor #recommendations #review #share #spotify #subscribe #website https://t.co/Pv0MDzOeBPositive",Neutral
854Negative,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Neutral
854Neutral,"With the recent outbreak of respiratory illness caused by the novel #coronavirus, employers may be concerned about an employee with a contagious disease coming to work. Here's how you can handle that.
??https://t.co/NegativejU9eFzefy
#EmployersAssoc #HumanResources #HR #Business https://t.co/FIJESpvQOs",Positive
854Positive,"Yoon of CNBC trying to put on a happy no-mask face, as operation 'calm the masses' continues.
#coronavirus ?????? https://t.co/dTPCj07Nd6",Positive
8544,Terrible...?? #coronaviruse,Negative
8545,"?? Yes, it appears #Bitcoin thrives off of the #coronavirus pandemic   https://t.co/za7iCqXQ0n",Neutral
8546,"Ohh no, this time ??
#Quranavirus vs #Coronavirus",Positive
8547,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Positive
8548,"?? The worst of all is that we donÕt know what we donÕt know about the #coronavirus. That should scare us enough to act according to the #precautionaryprinciple! And yes, we should think of the worst case scenario and should never downplay the risk of global pandemic!",Neutral
8549,WhatÕs going on Twitter?! ??#coronavirus https://t.co/lXtW4mP5hR,Neutral
8550,Coronavirus-Update !!????????????????????#Wuhan #CoronavirusOutbreak #China #Coronavirus #PrayForWuhan #coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan #Neutral0Neutral0nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/EjXrpDrram,Positive
855Negative,"??BREAKING: US confirms Positive more cases of #coronavirus (in #California) for NegativeNegative total. One man recently visited #Wuhan and then spread #Neutral0Negative9nCoV to his wife.Worldwide: &gt;Negative7,Neutral05 confirmed cases (vast majority in #China), and Positive6Negative deaths (all but Negative inÉ https://t.co/MEHYJPositiveNeutrallwZ https://t.co/0rdmmEVZPr",Neutral
855Neutral,"Expert say that the #coronavirus ?? can survive for:

- hours on a smooth object surface 
- a day in the right temp/humidity environment
- up to 5 days

But it wonÕt drift in the air, meaning thereÔs no ?? in the air. ItÕll settle on surfaces via sneeze/spit, etc.

#China #Wuhan https://t.co/TuvkAqIwdC",Negative
855Positive,WhatÕs going on Twitter!? ?? #coronavirus https://t.co/PositiveWMofhDsnv,Negative
8554,"#CoronaVirus He is a doctor ?
This is the moment, before he leaves his wife to Wuhan, treat #coronaVirus patients. 
This is a #corona virus suicide mission and many of these brave doctors and nurses won't come back to their loved ones.??
 ""God bless them""?? #WHO https://t.co/Kr6MQLZVhl",Negative
8555,"Update on #coronavirus testing:

As of Neutralpm today, a total of Neutral6 Scottish tests have concluded:

Neutral6 confirmed negative
0 positive

Read our latest update ?? https://t.co/NegativendOEMqPositivegD
Health advice ?? https://t.co/eAhun6aYkNegative
Guidance for travelling abroad ?? https://t.co/4wYN0WcFNegativeR https://t.co/DcckRp4b4h",Neutral
8556,"??Take our weekly news quiz and get up to speed on the latest developments taking place in China. #coronavirus #pneumonia #healthcare 

https://t.co/wIXe0DiIjg",Neutral
8557,"NegativeNegative confirmed cases of #Coronavirus #Neutral0Negative9nCoV ??in the ??????USA, Neutral ????#Chicago , 6 ???#California Negative ??#Washington Negative ??#Arizona Negative ????#Massachusetts #MondayMorning #MondayThoughts #CoronavirusOutbreak https://t.co/R5TasrTEuJ",Negative
8558,"https://t.co/VirENeutral8Nbgv  Amazon Virus Killing Device ??

#Coronavirus #cornonavirus #coronavirususa #Coronaphobia #coronavirusPH #cornonaviruschina",Positive
8559,"Muscled-up Chinese Cosplayer Help Fight Against Coronavirus. Watch the Video ?? https://t.co/XkpBoU5jIj
#CoronaVirus #Cosplayer #CoronaVirusOutbreak #CoronaroVirus #Corona #Virus #MondayMorning #MondayMood #MondayThoughts #Monday https://t.co/zQNeutralaapS9hX",Negative
8560,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Negative
856Negative,"Few hundreds dying of #Coronavirus
everybody starts using face mask, 

thousand already died of AIDS still 
nobody wants to use condom??

#coronaviruschina #coronavirusindia",Positive
856Neutral,"https://t.co/8vOLqINdxM  Amazon Virus Killing Device??

#Coronavirus #Coronaphobia #coronaviruses #CoronarvirusOutbreak #coronavirususa #cornonaviruschina",Positive
856Positive,"Who said he believed the Chinese for the death toll ?!??
#coronavirus #CoronavirusOutbreak #WuhanLockDown #WuhanOutbreak #WHO",Negative
8564,Coronavirus-Update !!????????????????????#Wuhan #CoronavirusOutbreak #China #Coronavirus #PrayForWuhan #coronavirus #CoronavirusOutbreak #PrayForChina #coronaviruswuhan #Neutral0Neutral0nCoV #China #Wuhan #WuhanCoronavirus #ChinaVirus #WuhanPneumonia #CoronaOutbreak https://t.co/QpyGwRPzxf,Neutral
8565,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Neutral
8566,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Neutral
8567,"#Coronavirus Update Feb Positiverd 9AM EST:
-Negative7,489 confirmed cases globally
-Positive6Neutral deaths: China #Philippines
-5Positive0 recovered: #China #Thailand #Australia #Japan #Vietnam 
-NeutralNegative,558 suspected cases China / NegativeNeutral7 in #US
-NeutralPositive countries now have #nCoV cases
Negative/Neutral - U.S. #nCoVNegative9 updates ???? https://t.co/vNegativeDf9MynxQ",Neutral
8568,"?? Caution! So far, this alternative explanation of the origin of #Coronavirus is not proven. It is, however, credible and is presented to keep followers informed. 

Francis Boyle: Wuhan Coronavirus is an Offensive Biological Warfare Weapon. https://t.co/6Z0PositivePositive5CiEM",Neutral
8569,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Neutral
8570,"Hong Kong hospital staff strike to demand closure of China border. ??????????
#coronavirus",Neutral
857Negative,"Its not just australia, Us, france are evacuating their people in china 
Hope everyone will be okay ??
#coronavirus #actasone 
No to hate, support every nation 
#PrayForTheWorld 
#prayforchina #prayforwuhan 
#ncovNeutral0Negative9 #Neutral0Negative9ncov 
#prayforphilippines ??????",Neutral
857Neutral,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Neutral
857Positive,Here's what you need to know about #coronavirus ?? https://t.co/wtDPositiveXF9ZYI,Neutral
8574,"How effective is thermal scanning at airports? 
NOT VERY ????
| LSHTM #coronavirus https://t.co/Jel4DeIyRt",Neutral
8575,"Beginning of sorrows???

https://t.co/tL5EiDHbPo
#coronaviruse #CoronaVirusKenya #cornonavirus #CoronavirusOutbreak #CoronaVirusCanada #coronavirusPH #CoronavirusWho #Jesus #JesusChrist #ChinaCoronaVirus #mondaythoughts #American #Contagion #prophecy #Bibleprophecy #EndTimes #UK",Neutral
8576,"God please help us developed a human vaccine... ?????? 
#coronavirus #ncovNeutral0Negative9 #fightthevirus #Neutral0Negative9ncov #PrayForTheWorld 

We know that the venom of bats or snakes are powerful, but hope for human cure... 
@WHO @DOHgov @WHOPhilippines",Neutral
